Complexity,Loss,Equation
1,111.962715,"x1"
3,9.817051e-6,"x0 - x0"
6,9.81703e-6,"x0 - (square(x0) / x0)"
7,9.816965e-6,"((x0 + x1) - x0) - x1"
8,9.816812e-6,"(x0 - (square(x0) / x0)) * x0"
9,9.815556e-6,"(x0 - (square(x0) / x0)) * square(x1)"
10,9.807983e-6,"square(x1) * (((x0 + x1) - x0) - x1)"
12,6.120964e-9,"x1 * -0.0002961059"
14,6.1208154e-9,"x1 - (x1 / 0.99970394)"
16,6.1171117e-9,"((x0 + -0.0002961147) - x0) * x1"
18,6.0692673e-9,"(x1 * ((0.99970394 - x0) + x0)) - x1"
22,6.068151e-9,"((x0 + (0.99970394 - x0)) * ((x0 + x1) - x0)) - x1"
25,1.6966311e-12,"x1 * (-0.0002964136 - (x0 * 9.887434e-7))"
27,1.6966308e-12,"(x1 * -0.0002964136) - ((x1 * x0) * 9.887334e-7)"
